manufactureName|name|url|imagesrcURL
Huawei|P30 Pro New Edition|https://www.gsmarena.com/huawei_p30_pro_new_edition-10219.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro-new-edition.jpg
Huawei|MatePad T8|https://www.gsmarena.com/huawei_matepad_t8-10231.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t8.jpg
Huawei|Y8s|https://www.gsmarena.com/huawei_y8s-10227.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y8s.png
Huawei|Y6p|https://www.gsmarena.com/huawei_y6p-10222.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y6p.jpg
Huawei|Y5p|https://www.gsmarena.com/huawei_y5p-10223.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y5p.jpg
Huawei|P smart 2020|https://www.gsmarena.com/huawei_p_smart_2020-10212.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-2020-.jpg
Huawei|nova 7 Pro 5G|https://www.gsmarena.com/huawei_nova_7_pro_5g-10203.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-pro-5g.jpg
Huawei|nova 7 5G|https://www.gsmarena.com/huawei_nova_7_5g-10204.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-5g.jpg
Huawei|nova 7 SE|https://www.gsmarena.com/huawei_nova_7_se-10205.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-se-new.jpg
Huawei|MatePad|https://www.gsmarena.com/huawei_matepad-10206.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-10.4.jpg
Huawei|Watch GT 2e|https://www.gsmarena.com/huawei_watch_gt_2e-10166.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt2e-new.jpg
Huawei|P40 Pro+|https://www.gsmarena.com/huawei_p40_pro+-10118.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-pro-plus.jpg
Huawei|P40 Pro|https://www.gsmarena.com/huawei_p40_pro-10152.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-pro.jpg
Huawei|P40|https://www.gsmarena.com/huawei_p40-10153.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p40.jpg
Huawei|P40 lite E|https://www.gsmarena.com/huawei_p40_lite_e-10112.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y7p-.jpg
Huawei|P40 lite|https://www.gsmarena.com/huawei_p40_lite-9996.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-lite.jpg
Huawei|MatePad Pro 5G|https://www.gsmarena.com/huawei_matepad_pro_5g-10100.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro.jpg
Huawei|Mate Xs|https://www.gsmarena.com/huawei_mate_xs-10098.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-xs-.jpg
Huawei|P30 lite New Edition|https://www.gsmarena.com/huawei_p30_lite_new_edition-10073.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-lite-new-edition.jpg
Huawei|Y7p|https://www.gsmarena.com/huawei_y7p-10074.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y7p-.jpg
Huawei|nova 7i|https://www.gsmarena.com/huawei_nova_7i-10058.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-lite.jpg
Huawei|Y6s (2019)|https://www.gsmarena.com/huawei_y6s_(2019)-10012.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y6s.jpg
Huawei|P smart Pro 2019|https://www.gsmarena.com/huawei_p_smart_pro_2019-9799.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y9s.jpg
Huawei|nova 6 5G|https://www.gsmarena.com/huawei_nova_6_5g-9983.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6-5g.jpg
Huawei|nova 6|https://www.gsmarena.com/huawei_nova_6-9971.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6.jpg
Huawei|nova 6 SE|https://www.gsmarena.com/huawei_nova_6_se-9989.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6-se.jpg
Huawei|MatePad Pro|https://www.gsmarena.com/huawei_matepad_pro-9973.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro.jpg
Huawei|Mate X|https://www.gsmarena.com/huawei_mate_x-9605.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x-.jpg
Huawei|Y9s|https://www.gsmarena.com/huawei_y9s-9956.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y9s.jpg
Huawei|nova 5z|https://www.gsmarena.com/huawei_nova_5z-9922.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5z.jpg
Huawei|Enjoy 10s|https://www.gsmarena.com/huawei_enjoy_10s-9933.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10s.jpg
Huawei|Enjoy 10|https://www.gsmarena.com/huawei_enjoy_10-9905.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10.jpg
Huawei|Mate 30 RS Porsche Design|https://www.gsmarena.com/huawei_mate_30_rs_porsche_design-9887.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-30-rs-porsche-design.jpg
Huawei|Mate 30 Pro 5G|https://www.gsmarena.com/huawei_mate_30_pro_5g-9880.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-pro-5g.jpg
Huawei|Mate 30 Pro|https://www.gsmarena.com/huawei_mate_30_pro-9885.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-pro-.jpg
Huawei|Mate 30 5G|https://www.gsmarena.com/huawei_mate_30_5g-9881.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-5g.jpg
Huawei|Mate 30|https://www.gsmarena.com/huawei_mate_30-9886.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-.jpg
Huawei|Watch GT 2|https://www.gsmarena.com/huawei_watch_gt_2-9888.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt2-.jpg
Huawei|nova 5i Pro|https://www.gsmarena.com/huawei_nova_5i_pro-9765.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5i-pro.jpg
Huawei|Enjoy 10 Plus|https://www.gsmarena.com/huawei_enjoy_10_plus-9830.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10-plus.jpg
Huawei|nova 5T|https://www.gsmarena.com/huawei_nova_5t-9803.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5t.jpg
Huawei|MediaPad M6 10.8|https://www.gsmarena.com/huawei_mediapad_m6_10_8-9748.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m6-108.jpg
Huawei|MediaPad M6 Turbo 8.4|https://www.gsmarena.com/huawei_mediapad_m6_turbo_8_4-9823.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m6-turbo.jpg
Huawei|MediaPad M6 8.4|https://www.gsmarena.com/huawei_mediapad_m6_8_4-9747.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m6-84.jpg
Huawei|nova 5 Pro|https://www.gsmarena.com/huawei_nova_5_pro-9746.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5-pro-new.jpg
Huawei|nova 5|https://www.gsmarena.com/huawei_nova_5-9728.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5-.jpg
Huawei|nova 5i|https://www.gsmarena.com/huawei_nova_5i-9727.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-2019-.jpg
Huawei|Y9 Prime (2019)|https://www.gsmarena.com/huawei_y9_prime_(2019)-9742.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y9-prime-2019-.jpg
Huawei|P20 lite (2019)|https://www.gsmarena.com/huawei_p20_lite_(2019)-9703.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-2019-.jpg
Huawei|P Smart Z|https://www.gsmarena.com/huawei_p_smart_z-9694.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-z-.jpg
Huawei|Mate 20 X (5G)|https://www.gsmarena.com/huawei_mate_20_x_(5g)-9705.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-20x-5g-.jpg
Huawei|P30 Pro|https://www.gsmarena.com/huawei_p30_pro-9635.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro.jpg
Huawei|P30|https://www.gsmarena.com/huawei_p30-9530.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p30.jpg
Huawei|P30 lite|https://www.gsmarena.com/huawei_p30_lite-9545.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-lite-.jpg
Huawei|nova 4e|https://www.gsmarena.com/huawei_nova_4e-9627.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-4e-.jpg
Huawei|Y5 (2019)|https://www.gsmarena.com/huawei_y5_(2019)-9675.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y5-2019.jpg
Huawei|Enjoy 9e|https://www.gsmarena.com/huawei_enjoy_9e-9645.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-2019-.jpg
Huawei|Enjoy 9s|https://www.gsmarena.com/huawei_enjoy_9s-9644.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-plus-2019-starlight-blue.jpg
Huawei|Y Max|https://www.gsmarena.com/huawei_y_max-9643.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y-max-ars-l22.jpg
Huawei|MediaPad M5 Lite 8|https://www.gsmarena.com/huawei_mediapad_m5_lite_8-9668.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-lite-8-inch.jpg
Huawei|Y6 Pro (2019)|https://www.gsmarena.com/huawei_y6_pro_(2019)-9576.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-pro-2019-.jpg
Huawei|Y6 (2019)|https://www.gsmarena.com/huawei_y6_(2019)-9620.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-2019-.jpg
Huawei|Y7 (2019)|https://www.gsmarena.com/huawei_y7_(2019)-9625.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-prime-2019.jpg
Huawei|Y7 Prime (2019)|https://www.gsmarena.com/huawei_y7_prime_(2019)-9531.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-prime-2019.jpg
Huawei|Y7 Pro (2019)|https://www.gsmarena.com/huawei_y7_pro_(2019)-9500.php|https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-pro-2019-.jpg
Lenovo|K7|https://www.gsmarena.com/lenovo_k7-10185.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7-.jpg
Lenovo|M10 FHD REL|https://www.gsmarena.com/lenovo_m10_fhd_rel-10049.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-fhd-rel.jpg
Lenovo|Yoga Smart Tab|https://www.gsmarena.com/lenovo_yoga_smart_tab-9959.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-smart-tab.jpg
Lenovo|K10 Plus|https://www.gsmarena.com/lenovo_k10_plus-9882.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-k10-plus.jpg
Lenovo|K10 Note|https://www.gsmarena.com/lenovo_k10_note-9821.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg
Lenovo|A6 Note|https://www.gsmarena.com/lenovo_a6_note-9822.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6-note-.jpg
Lenovo|Tab M8 (FHD)|https://www.gsmarena.com/lenovo_tab_m8_(fhd)-9826.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg
Lenovo|Tab M8 (HD)|https://www.gsmarena.com/lenovo_tab_m8_(hd)-9825.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg
Lenovo|Tab M7|https://www.gsmarena.com/lenovo_tab_m7-9824.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m7.jpg
Lenovo|Z6|https://www.gsmarena.com/lenovo_z6-9757.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6.jpg
Lenovo|Z6 Pro 5G|https://www.gsmarena.com/lenovo_z6_pro_5g-9754.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg
Lenovo|Z6 Youth|https://www.gsmarena.com/lenovo_z6_youth-9711.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg
Lenovo|Z6 Pro|https://www.gsmarena.com/lenovo_z6_pro-9671.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg
Lenovo|K6 Enjoy|https://www.gsmarena.com/lenovo_k6_enjoy-9655.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-enjoy.jpg
Lenovo|Tab V7|https://www.gsmarena.com/lenovo_tab_v7-9609.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-v7.jpg
Lenovo|S5 Pro GT|https://www.gsmarena.com/lenovo_s5_pro_gt-9490.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg
Lenovo|Z5s|https://www.gsmarena.com/lenovo_z5s-9436.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5s.jpg
Lenovo|Z5 Pro GT|https://www.gsmarena.com/lenovo_z5_pro_gt-9489.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro-gt-.jpg
Lenovo|Z5 Pro|https://www.gsmarena.com/lenovo_z5_pro-9349.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro.jpg
Lenovo|S5 Pro|https://www.gsmarena.com/lenovo_s5_pro-9375.php|https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg
LG|Q61|https://www.gsmarena.com/lg_q61-10257.php|https://fdn2.gsmarena.com/vv/bigpic/lg-q61.jpg
LG|Stylo 6|https://www.gsmarena.com/lg_stylo_6-10255.php|https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg
LG|Velvet|https://www.gsmarena.com/lg_velvet-10209.php|https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-.jpg
LG|Folder 2|https://www.gsmarena.com/lg_folder_2-10186.php|https://fdn2.gsmarena.com/vv/bigpic/lg-folder2.jpg
LG|V60 ThinQ 5G UW|https://www.gsmarena.com/lg_v60_thinq_5g_uw-10256.php|https://fdn2.gsmarena.com/vv/bigpic/lg-v60-thinq-5g-b.jpg
LG|V60 ThinQ 5G|https://www.gsmarena.com/lg_v60_thinq_5g-10103.php|https://fdn2.gsmarena.com/vv/bigpic/lg-v60-thinq-5g-b.jpg
LG|Q51|https://www.gsmarena.com/lg_q51-10102.php|https://fdn2.gsmarena.com/vv/bigpic/lg-q51.jpg
LG|W10 Alpha|https://www.gsmarena.com/lg_w10_alpha-10090.php|https://fdn2.gsmarena.com/vv/bigpic/lg-w10-alpha-.jpg
LG|K61|https://www.gsmarena.com/lg_k61-10088.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k61-new.jpg
LG|K51S|https://www.gsmarena.com/lg_k51s-10087.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k51s.jpg
LG|K41S|https://www.gsmarena.com/lg_k41s-10086.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k41ss.jpg
LG|G Pad 5 10.1|https://www.gsmarena.com/lg_g_pad_5_10_1-9952.php|https://fdn2.gsmarena.com/vv/bigpic/lg-gpad-5-101-lmt600l.jpg
LG|V50S ThinQ 5G|https://www.gsmarena.com/lg_v50s_thinq_5g-9906.php|https://fdn2.gsmarena.com/vv/bigpic/lg-g8x-thinq.jpg
LG|G8X ThinQ|https://www.gsmarena.com/lg_g8x_thinq-9844.php|https://fdn2.gsmarena.com/vv/bigpic/lg-g8x-thinq.jpg
LG|Q70|https://www.gsmarena.com/lg_q70-9815.php|https://fdn2.gsmarena.com/vv/bigpic/lg-q70.jpg
LG|K30 (2019)|https://www.gsmarena.com/lg_k30_(2019)-9827.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k30-2019.jpg
LG|K20 (2019)|https://www.gsmarena.com/lg_k20_(2019)-9828.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k20-2019.jpg
LG|K40S|https://www.gsmarena.com/lg_k40s-9805.php|https://fdn2.gsmarena.com/vv/bigpic/kg-k40s-.jpg
LG|K50S|https://www.gsmarena.com/lg_k50s-9804.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k50s-.jpg
LG|W30 Pro|https://www.gsmarena.com/lg_w30_pro-9753.php|https://fdn2.gsmarena.com/vv/bigpic/lg-w30-pro.jpg
LG|W30|https://www.gsmarena.com/lg_w30-9752.php|https://fdn2.gsmarena.com/vv/bigpic/lg-w30-lmx440im.jpg
LG|W10|https://www.gsmarena.com/lg_w10-9751.php|https://fdn2.gsmarena.com/vv/bigpic/lg-w10-lmx130im.jpg
LG|Stylo 5|https://www.gsmarena.com/lg_stylo_5-9758.php|https://fdn2.gsmarena.com/vv/bigpic/lg-stylo-5.jpg
LG|V50 ThinQ 5G|https://www.gsmarena.com/lg_v50_thinq_5g-9607.php|https://fdn2.gsmarena.com/vv/bigpic/lg-gv50-thinq-.jpg
LG|G8S ThinQ|https://www.gsmarena.com/lg_g8s_thinq-9608.php|https://fdn2.gsmarena.com/vv/bigpic/lg-g8s-thinq.jpg
LG|G8 ThinQ|https://www.gsmarena.com/lg_g8_thinq-9540.php|https://fdn2.gsmarena.com/vv/bigpic/lg-g8-thinq-r1.jpg
LG|Q60|https://www.gsmarena.com/lg_q60-9585.php|https://fdn2.gsmarena.com/vv/bigpic/lg-q60-.jpg
LG|K50|https://www.gsmarena.com/lg_k50-9586.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k50-.jpg
LG|K40|https://www.gsmarena.com/lg_k40-9587.php|https://fdn2.gsmarena.com/vv/bigpic/lg-k40-.jpg
LG|Q9|https://www.gsmarena.com/lg_q9-9411.php|https://fdn2.gsmarena.com/vv/bigpic/lg-q9-.jpg
LG|V40 ThinQ|https://www.gsmarena.com/lg_v40_thinq-9300.php|https://fdn2.gsmarena.com/vv/bigpic/lg-v40-carmine-red.jpg
Motorola|One Fusion+|https://www.gsmarena.com/motorola_one_fusion+-10290.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-fusion-plus.jpg
Motorola|Moto G Fast|https://www.gsmarena.com/motorola_moto_g_fast-10286.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-fast.jpg
Motorola|Moto E (2020)|https://www.gsmarena.com/motorola_moto_e_(2020)-10287.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e-2020.jpg
Motorola|Moto G Pro|https://www.gsmarena.com/motorola_moto_g_pro-10269.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-.jpg
Motorola|Edge+|https://www.gsmarena.com/motorola_edge+-10119.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-plus.jpg
Motorola|Edge|https://www.gsmarena.com/motorola_edge-10133.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-midnight-magenta.jpg
Motorola|Moto G8 Power Lite|https://www.gsmarena.com/motorola_moto_g8_power_lite-10154.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8-power-lite.jpg
Motorola|Moto E6s (2020)|https://www.gsmarena.com/motorola_moto_e6s_(2020)-10135.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e6s-2020.jpg
Motorola|Moto G8|https://www.gsmarena.com/motorola_moto_g8-10051.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8.jpg
Motorola|Moto G Stylus|https://www.gsmarena.com/motorola_moto_g_stylus-10057.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-.jpg
Motorola|Moto G Power|https://www.gsmarena.com/motorola_moto_g_power-10076.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-power.jpg
Motorola|Moto G8 Power|https://www.gsmarena.com/motorola_moto_g8_power-10052.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-power-r.jpg
Motorola|One Hyper|https://www.gsmarena.com/motorola_one_hyper-9944.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-hyper-.jpg
Motorola|Razr 2019|https://www.gsmarena.com/motorola_razr_2019-9630.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-2019-.jpg
Motorola|Moto G8 Play|https://www.gsmarena.com/motorola_moto_g8_play-9918.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8-play-r.jpg
Motorola|Moto E6 Play|https://www.gsmarena.com/motorola_moto_e6_play-9932.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e6-play.jpg
Motorola|Moto G8 Plus|https://www.gsmarena.com/motorola_moto_g8_plus-9916.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8-plus.jpg
Motorola|One Macro|https://www.gsmarena.com/motorola_one_macro-9900.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-macro-10.jpg
Motorola|Moto E6 Plus|https://www.gsmarena.com/motorola_moto_e6_plus-9831.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e6-plus-.jpg
Motorola|One Zoom|https://www.gsmarena.com/motorola_one_zoom-9745.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-zoom-r1.jpg
Motorola|One Action|https://www.gsmarena.com/motorola_one_action-9739.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-action-aqua-teal.jpg
Motorola|Moto E6|https://www.gsmarena.com/motorola_moto_e6-9682.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e6-xt2005-navy-blue.jpg
Motorola|Moto Z4|https://www.gsmarena.com/motorola_moto_z4-9691.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-z4-r.jpg
Motorola|One Vision|https://www.gsmarena.com/motorola_one_vision-9647.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-one-vision.jpg
Motorola|Moto G7 Plus|https://www.gsmarena.com/motorola_moto_g7_plus-9533.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-plus.jpg
Motorola|Moto G7|https://www.gsmarena.com/motorola_moto_g7-9357.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7.jpg
Motorola|Moto G7 Power|https://www.gsmarena.com/motorola_moto_g7_power-9527.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-power.jpg
Motorola|Moto G7 Play|https://www.gsmarena.com/motorola_moto_g7_play-9532.php|https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-play.jpg
Nokia|C5 Endi|https://www.gsmarena.com/nokia_c5_endi-10273.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-endi.jpg
Nokia|C2 Tennen|https://www.gsmarena.com/nokia_c2_tennen-10275.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-tennen.jpg
Nokia|C2 Tava|https://www.gsmarena.com/nokia_c2_tava-10274.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-tava.jpg
Nokia|150 (2020)|https://www.gsmarena.com/nokia_150_(2020)-10241.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-150-2020.jpg
Nokia|125|https://www.gsmarena.com/nokia_125-10240.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-125-2020.jpg
Nokia|8.3 5G|https://www.gsmarena.com/nokia_8_3_5g-10142.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-83-5g.jpg
Nokia|5.3|https://www.gsmarena.com/nokia_5_3-10117.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-53.jpg
Nokia|1.3|https://www.gsmarena.com/nokia_1_3-10143.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-13.jpg
Nokia|5310 (2020)|https://www.gsmarena.com/nokia_5310_(2020)-10144.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-5310.jpg
Nokia|C2|https://www.gsmarena.com/nokia_c2-10131.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-.jpg
Nokia|C1|https://www.gsmarena.com/nokia_c1-9993.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-c1-.jpg
Nokia|2.3|https://www.gsmarena.com/nokia_2_3-9988.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-23.jpg
Nokia|7.2|https://www.gsmarena.com/nokia_7_2-9833.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-72.jpg
Nokia|6.2|https://www.gsmarena.com/nokia_6_2-9834.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-62.jpg
